agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|2|"ARAUCO"|4|"CURANILAHUE"|1|"ARAUCO"|457|458|460|235|256|254|2|-1|-3|0|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|12|"CURARREHUE"|2|"CAUTÍN SUR"|90|89|89|242|234|244|17|8|-9|1|0|0
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|1|"TALCA"|22|"CUREPTO"|4|"TALCA"|114|117|117|254|257|260|6|-3|-7|0|0|0
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|3|"CURICÓ"|4|"CURICÓ"|2|"CURICÓ"|2017|2017|2030|252|273|278|4|3|-3|0|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|2|"CHILOÉ"|5|"DALCAHUE"|1|"CHILOÉ"|199|200|199|239|254|257|-1|3|-8|0|0|0
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|2|"CHAÑARAL"|4|"DIEGO DE ALMAGRO"|1|"COPIAPÓ - CHAÑARAL"|203|200|200|235|248|262|6|0|-12|0|0|-1
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|4|"DOÑIHUE"|1|"CACHAPOAL"|217|220|220|241|261|261|0|1|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|36|"EL BOSQUE"|6|"SANTIAGO SUR"|2324|2368|2373|235|257|259|5|3|-6|0|0|0
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|4|"ÑUBLE"|40|"EL CARMEN"|4|"ÑUBLE"|182|177|178|239|241|251|-2|-5|-13|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|6|"TALAGANTE"|45|"EL MONTE"|7|"TALAGANTE"|397|398|399|228|245|252|1|1|0|0|0|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|15|"EL QUISCO"|2|"SAN ANTONIO"|130|136|136|221|233|243|-21|-5|-25|-1|0|-1
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|6|"SAN ANTONIO"|16|"EL TABO"|2|"SAN ANTONIO"|54|55|55|221|231|254|-20|-11|-1|-1|0|0
2015|20160908|"final20160908v1"|"8b"|7|"MAULE"|1|"TALCA"|23|"EMPEDRADO"|4|"TALCA"|47|46|46|230|260|254|-1|5|-18|0|0|-1
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|2|"MALLECO"|25|"ERCILLA"|3|"MALLECO"|103|103|103|224|218|242|8|-17|-1|0|-1|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|28|"ESTACIÓN CENTRAL"|5|"SANTIAGO PONIENTE"|1484|1475|1477|236|259|258|6|3|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|25|"FLORIDA"|3|"CONCEPCIÓN"|113|118|117|221|235|242|-8|-4|-15|0|0|-1
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|13|"FREIRE"|2|"CAUTÍN SUR"|279|277|280|240|240|257|2|7|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|3|"ATACAMA"|3|"HUASCO"|7|"FREIRINA"|2|"HUASCO"|65|60|60|244|257|257|32|32|5|1|1|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|13|"FRESIA"|2|"LLANQUIHUE"|159|162|162|232|243|252|11|-1|3|1|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|14|"FRUTILLAR"|2|"LLANQUIHUE"|217|217|217|239|254|253|8|3|-4|0|0|0
2015|20160908|"final20160908v1"|"8b"|10|"LOS LAGOS"|4|"PALENA"|29|"FUTALEUFÚ"|4|"PALENA"|22|28|28|242|265|262|2|17|-5|0|1|0
2015|20160908|"final20160908v1"|"8b"|14|"LOS RÍOS"|2|"RANCO"|1|"FUTRONO"|1|"RANCO"|255|266|267|246|243|256|9|1|-5|1|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|4|"GALVARINO"|1|"CAUTÍN NORTE"|178|180|180|238|226|237|9|-6|-17|0|0|-1
2015|20160908|"final20160908v1"|"8b"|15|"ARICA Y PARINACOTA"|2|"PARINACOTA"|3|"GENERAL LAGOS"|2|"PARINACOTA"|9|8|8|195|194|189|-3|-13|-22|0|0|0
2015|20160908|"final20160908v1"|"8b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|14|"GORBEA"|2|"CAUTÍN SUR"|131|125|127|240|244|257|8|-1|-5|0|0|0
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|5|"GRANEROS"|1|"CACHAPOAL"|527|518|517|228|240|251|10|1|-3|1|0|0
2015|20160908|"final20160908v1"|"8b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|6|"GUAITECAS"|1|"COYHAIQUE"|26|26|25|240|240|243|5|-8|4|0|0|0
