agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2b_com|prom_lect2b_com|dif_lect2b_com|sigdif_lect2b_com
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|13|"FRESIA"|2|"LLANQUIHUE"|155|246|0|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|14|"FRUTILLAR"|2|"LLANQUIHUE"|256|249|1|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|4|"PALENA"|29|"FUTALEUFÚ"|4|"PALENA"|34|246|-12|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|2|"RANCO"|1|"FUTRONO"|1|"RANCO"|194|251|7|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|4|"GALVARINO"|1|"CAUTÍN NORTE"|177|234|2|0
2015|20160908|"final20160908v1"|"2b"|15|"ARICA Y PARINACOTA"|2|"PARINACOTA"|3|"GENERAL LAGOS"|2|"PARINACOTA"|3|238||
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|14|"GORBEA"|2|"CAUTÍN SUR"|142|258|10|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|1|"CACHAPOAL"|5|"GRANEROS"|1|"CACHAPOAL"|583|237|1|0
2015|20160908|"final20160908v1"|"2b"|11|"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"|2|"AISÉN"|6|"GUAITECAS"|1|"COYHAIQUE"|17|239|-12|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|5|"QUILLOTA"|3|"HIJUELAS"|1|"QUILLOTA - PETORCA"|209|234|-4|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|4|"PALENA"|15|"HUALAIHUÉ"|2|"LLANQUIHUE"|124|249|4|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|3|"CURICÓ"|5|"HUALAÑÉ"|2|"CURICÓ"|120|273|4|0
