Código Unico Territorial,Comuna,Grado Accesibilidad,Nombre Accesibilidad,Numero Región,Provincia,Región,Necesidad de Avión
10203,Chonchi,1,Accesible,10,Chiloe,de los Lagos,0
10204,Curaco de Vélez,2,Medianamente,10,Chiloe,de los Lagos,0
10205,Dalcahue,1,Accesible,10,Chiloe,de los Lagos,0
10206,Puqueldón,2,Medianamente,10,Chiloe,de los Lagos,0
10207,Queilén,2,Medianamente,10,Chiloe,de los Lagos,0
10208,Quellón,2,Medianamente,10,Chiloe,de los Lagos,0
10209,Quemchi,2,Medianamente,10,Chiloe,de los Lagos,0
10210,Quinchao,2,Medianamente,10,Chiloe,de los Lagos,0
10301,Osorno,1,Accesible,10,Osorno,de los Lagos,0
10302,Puerto Octay,1,Accesible,10,Osorno,de los Lagos,0
10303,Purranque,1,Accesible,10,Osorno,de los Lagos,0
10304,Puyehue,1,Accesible,10,Osorno,de los Lagos,0
10305,Río Negro,1,Accesible,10,Osorno,de los Lagos,0
10306,San Juan de la Costa,3,No Accesible,10,Osorno,de los Lagos,0
10307,San Pablo,3,No Accesible,10,Osorno,de los Lagos,0
10401,Chaitén,3,No Accesible,10,Palena,de los Lagos,0
10402,Futaleufú,3,No Accesible,10,Palena,de los Lagos,0
10403,Hualaihue,3,No Accesible,10,Palena,de los Lagos,0
10404,Palena,3,No Accesible,10,Palena,de los Lagos,0
11101,Coihaique,3,No Accesible,11,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo,1
11102,Lago Verde,3,No Accesible,11,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo,1
11201,Aisén,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11202,Cisnes,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11203,Guaitecas,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11301,Cochrane,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11302,Ohiggins,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11303,Tortel,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11401,Chile Chico,3,No Accesible,11,General Carrera,Aysén del Gral. Carlos Ibáñez del Campo,1
11402,Río Ibáñez,3,No Accesible,11,General Carrera,Aysén del Gral. Carlos Ibáñez del Campo,1
